City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Margate,51.3813,1.3862,37.99,76,100,5.01,GB,2021-01-07 01:55:40
68,Linhares,-19.3911,-40.0722,72.09,88,68,3.53,BR,2021-01-07 01:55:40
69,Dingle,10.9995,122.6711,82.04,79,24,13.35,PH,2021-01-07 01:55:41
70,Portland,45.5234,-122.6762,46.99,100,90,9.17,US,2021-01-07 01:53:43
71,Ulladulla,-35.35,150.4667,66.0,100,75,14.99,AU,2021-01-07 01:55:41
72,Coracao De Jesus,-16.6853,-44.365,69.64,88,100,4.09,BR,2021-01-07 01:55:41
73,Imbituba,-28.24,-48.6703,77.0,88,20,2.24,BR,2021-01-07 01:55:41
74,Pokhara,28.2333,83.9833,61.11,28,0,5.79,NP,2021-01-07 01:55:42
75,Ilulissat,69.2167,-51.1,30.2,80,100,17.22,GL,2021-01-07 01:55:42
76,Hermanus,-34.4187,19.2345,64.0,79,5,9.53,ZA,2021-01-07 01:55:42
77,Kuna,43.4918,-116.4201,39.99,80,20,8.05,US,2021-01-07 01:52:22
78,Hirara,24.8,125.2833,59.0,93,75,20.8,JP,2021-01-07 01:55:42
79,Lompoc,34.6391,-120.4579,55.4,76,1,8.05,US,2021-01-07 01:55:43
80,Mataura,-46.1927,168.8643,61.0,89,100,5.99,NZ,2021-01-07 01:55:43
81,Katsuura,35.1333,140.3,52.0,32,40,31.09,JP,2021-01-07 01:55:43
82,Faya,18.3851,42.4509,51.8,93,0,2.24,SA,2021-01-07 01:55:44
83,Mar Del Plata,-38.0023,-57.5575,68.0,94,75,6.93,AR,2021-01-07 01:55:44
84,Mangan,27.5167,88.5333,59.79,32,5,3.94,IN,2021-01-07 01:55:44
85,Kalmar,56.6616,16.3616,34.0,100,100,6.93,SE,2021-01-07 01:55:44
86,Luderitz,-26.6481,15.1594,64.4,68,0,10.29,NA,2021-01-07 01:55:44
87,Salinopolis,-0.6136,-47.3561,80.55,79,45,10.13,BR,2021-01-07 01:55:45
88,Port Alfred,-33.5906,26.891,66.0,91,0,4.0,ZA,2021-01-07 01:55:45
89,Nanortalik,60.1432,-45.2371,34.36,88,100,10.4,GL,2021-01-07 01:55:45
90,Tiksi,71.6872,128.8694,-18.45,86,100,39.53,RU,2021-01-07 01:55:46
91,Tasiilaq,65.6145,-37.6368,17.6,61,100,2.24,GL,2021-01-07 01:55:46
92,Ribeira Grande,38.5167,-28.7,57.79,65,13,28.27,PT,2021-01-07 01:55:46
93,Praia,14.9215,-23.5087,77.0,33,20,10.29,CV,2021-01-07 01:55:46
94,Port Lincoln,-34.7333,135.8667,65.1,62,26,14.07,AU,2021-01-07 01:55:47
95,Poli,-3.3333,36.8,68.0,93,20,4.45,TZ,2021-01-07 01:55:47
96,Chokurdakh,70.6333,147.9167,-17.03,89,99,11.61,RU,2021-01-07 01:55:47
97,Pevek,69.7008,170.3133,-10.84,90,100,10.27,RU,2021-01-07 01:55:48
98,Barrow,71.2906,-156.7887,-14.8,83,90,3.36,US,2021-01-07 01:55:48
99,Jamestown,42.097,-79.2353,30.99,92,90,9.17,US,2021-01-07 01:55:48
100,Madimba,-10.4,40.3333,80.6,83,75,11.41,TZ,2021-01-07 01:55:49
101,Pervomayskiy,53.2485,40.2871,21.99,87,100,7.27,RU,2021-01-07 01:55:49
102,Cidreira,-30.1811,-50.2056,74.34,88,100,6.44,BR,2021-01-07 01:55:49
103,Waddan,29.1614,16.139,57.4,52,72,7.38,LY,2021-01-07 01:55:49
104,Aquiraz,-3.9014,-38.3911,82.4,74,40,12.75,BR,2021-01-07 01:55:50
105,Canon City,38.441,-105.2424,33.8,37,1,0.94,US,2021-01-07 01:55:50
106,Narsaq,60.9167,-46.05,23.0,67,75,8.37,GL,2021-01-07 01:55:50
107,Trindade,-16.6494,-49.4889,78.8,69,20,4.7,BR,2021-01-07 01:52:18
108,Aklavik,68.2191,-135.0107,-20.2,75,0,4.7,CA,2021-01-07 01:55:50
109,Douglas,41.3,-96.167,35.01,98,90,6.93,US,2021-01-07 01:52:31
110,Nicoya,10.1483,-85.452,77.0,78,0,0.78,CR,2021-01-07 01:55:51
111,San Patricio,28.017,-97.5169,66.2,48,1,16.11,US,2021-01-07 01:55:51
112,Yerofey Pavlovich,53.9667,121.9667,-16.98,81,100,3.83,RU,2021-01-07 01:55:51
113,Chicama,-7.8447,-79.1469,70.99,74,100,5.03,PE,2021-01-07 01:55:52
114,Marsh Harbour,26.5412,-77.0636,68.16,58,87,9.17,BS,2021-01-07 01:55:52
115,Kirakira,-10.4544,161.9205,86.79,64,52,6.51,SB,2021-01-07 01:55:52
116,Morondava,-20.2833,44.2833,79.61,76,95,5.64,MG,2021-01-07 01:55:52
117,Salalah,17.0151,54.0924,68.0,40,0,8.05,OM,2021-01-07 01:55:52
118,Kalmunai,7.4167,81.8167,78.03,83,100,5.35,LK,2021-01-07 01:55:53
119,Kahului,20.8947,-156.47,84.2,51,20,18.34,US,2021-01-07 01:54:07
120,Aizkraukle,56.6048,25.2553,28.99,91,97,5.99,LV,2021-01-07 01:55:53
121,Fukuma,33.7667,130.4667,35.01,69,75,21.92,JP,2021-01-07 01:52:11
122,Cabo San Lucas,22.8909,-109.9124,69.8,49,20,5.82,MX,2021-01-07 01:52:04
123,Karratha,-20.7377,116.8463,94.51,28,19,14.45,AU,2021-01-07 01:55:54
124,Havre-Saint-Pierre,50.2334,-63.5986,33.8,64,90,16.11,CA,2021-01-07 01:55:54
125,Hualmay,-11.0964,-77.6139,70.02,78,49,6.73,PE,2021-01-07 01:55:54
126,Porbandar,21.6422,69.6093,61.0,60,48,13.24,IN,2021-01-07 01:55:55
127,Carnarvon,-24.8667,113.6333,91.4,38,100,6.93,AU,2021-01-07 01:55:55
128,Kaitangata,-46.2817,169.8464,59.2,96,100,5.5,NZ,2021-01-07 01:55:55
